country_code,authors2008,authors2009,authors2010,authors2011,authors2012,authors2013,authors2014,authors2015,authors2016,authors2017
CZE,17565,18495,20518,21986,23167,24285,27243,27977,29552,30393
DDR,1,0,0,0,0,0,0,1,0,0
DEU,163383,172084,179460,188875,200414,205265,215739,218780,229369,233977
DJI,14,27,30,29,40,35,36,24,40,35
DMA,3,3,16,4,8,8,12,12,18,27
DNK,16805,18225,19634,21525,23205,24671,26755,27839,29298,30384
DOM,72,65,66,91,121,131,144,172,190,198
DZA,3765,4736,4773,5470,6594,7437,8159,9342,10565,11348
ECU,496,591,585,632,776,920,1354,2195,3639,5613
EGY,9797,12458,14151,16679,19159,20293,21113,23185,27107,26584
ERI,34,33,33,53,27,41,32,42,40,72
ESH,1,3,2,0,0,0,0,1,0,0
ESP,95701,101314,106275,113580,120076,122363,129230,131237,137146,140083
EST,2300,2324,2792,2864,3018,3233,3562,3532,3589,3630
ETH,872,1017,1103,1474,1740,2163,2568,2763,3329,4483
FIN,19219,20386,20522,21537,22211,22598,23510,23842,24452,24240
FJI,147,149,159,154,163,180,282,231,364,370
FLK,16,16,23,15,21,22,17,31,17,28
FRA,130364,137077,140650,147410,153223,157318,162938,164471,170514,171953
FRO,20,28,48,34,43,40,47,56,74,71
FSM,10,16,21,6,9,14,19,28,30,30
GAB,106,163,123,197,194,226,269,315,293,339
GBR,162304,169809,173491,179885,189256,196835,203425,209355,219363,224840
GEO,985,1151,940,1193,1192,1141,1310,1390,1753,1736
GHA,819,943,1159,1398,1673,1793,2186,2457,3158,3346
GIB,7,7,8,12,11,12,10,15,24,12
GIN,60,59,63,65,76,74,144,195,241,226
GLP,77,114,87,96,94,124,152,103,124,97
GMB,160,144,160,149,163,207,170,215,322,266
GNB,35,41,38,46,62,72,81,65,58,98
GNQ,12,20,18,17,20,19,19,27,52,34
GRC,21359,22385,22435,22886,22779,23234,23713,23285,23849,23968
GRD,64,60,69,78,83,116,191,126,115,192
GRL,45,32,58,56,76,101,86,94,96,80
GTM,121,219,154,173,224,267,275,343,356,421
GUF,59,58,53,35,79,94,82,97,121,121
GUM,39,49,50,62,57,80,63,56,60,71
GUY,17,32,42,43,51,33,41,51,71,66
HKG,12741,13339,14038,14759,15151,15650,16622,17117,18332,19039
HMD,0,0,0,1,0,0,0,0,1,0
